1,18,41,24.49050971107483,879,533
1,19,41,24.518542490768432,1517,482
1,20,41,24.49882885055542,1160,479
1,21,41,24.51463981704712,1434,495
1,22,41,24.538687907028198,1229,468
1,23,41,0.29771971702575684,1396,499
1,24,41,0.2939479351043701,1454,499
1,25,41,24.515635691452026,1476,518
1,26,41,24.518149338531494,1629,499
1,27,41,24.514545403289794,1384,472
1,28,41,24.52211757736206,1440,553
1,29,41,24.581567250061035,1565,523
1,30,41,24.62719317512512,2617,499
1,31,41,24.498033247756958,1134,499
1,32,41,24.51504584388733,1596,503
1,33,41,24.5765661819458,1475,503
1,34,41,0.22730755805969238,1183,499
1,35,41,24.517238341140747,1196,499
1,36,41,0.19860148429870605,715,499
1,37,41,24.48705693321228,685,470
1,38,41,24.485654555130004,716,499
1,39,41,24.71225496368408,6965,4306
1,40,41,24.49669762687683,940,579
2,0,61,26.5380239112854,697,470
2,1,61,24.488884411621093,705,470
2,2,61,0.19112110137939453,865,499
2,3,61,24.48818489151001,700,472
2,4,61,24.48546191291809,720,492
2,5,61,24.487167797851562,775,520
2,6,61,24.486464224624633,730,475
2,7,61,24.486124478149414,711,470
2,8,61,24.486598454284668,690,470
2,9,61,24.484959088134765,700,472
2,10,61,24.485317431259155,708,470
2,11,61,24.48502179222107,696,472
2,12,61,24.472887001800537,695,472
2,13,61,24.48631139831543,699,470
2,14,61,0.2010653018951416,860,499
2,15,61,24.4868821723938,237,88
2,16,61,24.485487185287475,700,468
2,17,61,24.48503204421997,466,270
2,18,61,24.473901711273193,717,474
2,19,61,24.485539637374877,727,476
2,20,61,24.486657343673706,748,502
2,21,61,24.488236389923095,757,499
2,22,61,0.5517072677612305,3854,499
2,23,61,24.71507354812622,3411,560
2,24,61,24.583538971710205,1792,520
2,25,61,24.586487494277954,2123,489
2,26,61,0.20216059684753418,755,499
2,27,61,24.552025996017456,1854,480
2,28,61,24.634670458602905,2905,556
2,29,61,0.19873309135437012,401,499
2,30,61,24.628794632720947,2935,497
2,31,61,24.490438662338256,875,499
2,32,61,24.59116121368408,1716,155
2,33,61,24.49194737510681,952,505
2,34,61,24.875689707565307,4904,534
2,35,61,24.591574393081665,2080,478
2,36,61,24.497425518798828,1011,499
2,37,61,24.486005030441284,760,481
2,38,61,24.666587315368652,3273,517
2,39,61,24.63000913696289,2536,485
2,40,61,24.716950379180908,3828,504
2,41,61,24.49627324180603,1047,499
2,42,61,24.593073569107055,2308,507
2,43,61,24.576381645965576,1343,471
2,44,61,24.709351263809204,2696,503
2,45,61,24.488435946273803,814,503
2,46,61,24.794166527557373,4406,542
2,47,61,24.49183627204895,877,499
2,48,61,24.587185583877563,2065,503
2,49,61,24.48946949081421,853,472
2,50,61,24.550651512908935,2002,556
2,51,61,24.711826287078857,3039,514
2,52,61,0.19864654541015625,761,499
2,53,61,24.493134699630737,848,470
2,54,61,24.670402489471435,3109,557
2,55,61,24.708297215270996,2772,500
2,56,61,24.628291331100463,3267,550
2,57,61,0.19942188262939453,833,499
2,58,61,0.2094097137451172,849,499
