,type,c_Q,c_V,c_density,c_viscosity,c_interface tension,c_channel’s width,c_channel’s depth,c_weber number,c_capillary number,d_Q,d_V,d_density,d_viscosity,d_interface tension,d_channel’s width,d_channel’s depth,d_weber number,d_capillary number
37,jetting,1.17174E-06,0.45771,1015.5,0.001,0.012601,1.6,1.6,27.01317927,0.036323308,8.49254E-09,0.33174,1350.5,0.00043,0.012601,0.16,0.16,1.887144868,0.011320387
38,jetting,1.17174E-06,0.45771,1015.5,0.001,0.012601,1.6,1.6,27.01317927,0.036323308,9.55418E-09,0.37321,1350.5,0.00043,0.012601,0.16,0.16,2.388449722,0.012735521
39,jetting,1.56229E-06,0.61027,1015.5,0.001,0.012601,1.6,1.6,48.02185601,0.048430283,8.49254E-09,0.33174,1350.5,0.00043,0.012601,0.16,0.16,1.887144868,0.011320387
40,jetting,1.56229E-06,0.61027,1015.5,0.001,0.012601,1.6,1.6,48.02185601,0.048430283,9.55418E-09,0.37321,1350.5,0.00043,0.012601,0.16,0.16,2.388449722,0.012735521
41,jetting,1.95287E-06,0.76284,1015.5,0.001,0.012601,1.6,1.6,75.03464182,0.060538053,8.49254E-09,0.33174,1350.5,0.00043,0.012601,0.16,0.16,1.887144868,0.011320387
42,jetting,1.95287E-06,0.76284,1015.5,0.001,0.012601,1.6,1.6,75.03464182,0.060538053,9.55418E-09,0.37321,1350.5,0.00043,0.012601,0.16,0.16,2.388449722,0.012735521
43,jetting,2.34345E-06,0.91541,1015.5,0.001,0.012601,1.6,1.6,108.0503564,0.072645822,8.49254E-09,0.33174,1350.5,0.00043,0.012601,0.16,0.16,1.887144868,0.011320387
44,jetting,2.34345E-06,0.91541,1015.5,0.001,0.012601,1.6,1.6,108.0503564,0.072645822,9.55418E-09,0.37321,1350.5,0.00043,0.012601,0.16,0.16,2.388449722,0.012735521
45,jetting,2.73403E-06,1.06798,1015.5,0.001,0.012601,1.6,1.6,147.0689996,0.084753591,7.43091E-09,0.29027,1350.5,0.00043,0.012601,0.16,0.16,1.444820402,0.009905254
46,jetting,2.73403E-06,1.06798,1015.5,0.001,0.012601,1.6,1.6,147.0689996,0.084753591,8.49254E-09,0.33174,1350.5,0.00043,0.012601,0.16,0.16,1.887144868,0.011320387
47,jetting,3.12461E-06,1.22055,1015.5,0.001,0.012601,1.6,1.6,192.0905716,0.09686136,6.36954E-09,0.24881,1350.5,0.00043,0.012601,0.16,0.16,1.061561653,0.008490461
48,jetting,3.12461E-06,1.22055,1015.5,0.001,0.012601,1.6,1.6,192.0905716,0.09686136,7.43091E-09,0.29027,1350.5,0.00043,0.012601,0.16,0.16,1.444820402,0.009905254
