,type,c_Q,c_V,c_density,c_viscosity,c_interface tension,c_channel’s width,c_channel’s depth,c_weber number,c_capillary number,d_Q,d_V,d_density,d_viscosity,d_interface tension,d_channel’s width,d_channel’s depth,d_weber number,d_capillary number
77,squeezing,1.6666666666666664e-11,2.4688539544871115e-11,1515.0,0.11468,0.048,821.6307315261818,821.6307315261818,1.5806614810556247e-17,5.89850357292879e-11,1.1111111111111112e-08,0.1343380725971734,998.2,0.001003,0.048,0.28759358118279577,0.28759358118279577,0.10793287436938777,0.002807105975311769
78,squeezing,2.77778e-08,2.77778,850.0,0.00065,821.6307315261818,0.1,821.6307315261818,0.0007982481931946827,0.0268,2.77778e-12,0.000277778,1000.0,0.001,0.28759358118279577,0.1,0.28759358118279577,2.6829742502130594e-08,0.0351
79,dripping,1.7205e-09,0.006882,858.0,0.0112509999999999,0.011465,0.5,0.2825,0.0017721993367640647,0.0501,5.275e-10,0.00211,940.9676539564472,0.011445,0.011465,0.5,0.2825,0.00018269873930133003,0.000325
80,squeezing,1.8333333333333327e-10,0.008369856342829314,892.9766140512651,0.012999978511800047,821.6307315261818,0.148,0.056,1.1268370913194814e-08,0.0095,1.75e-07,0.125,1000.0,1e-06,0.28759358118279577,0.1585,0.05735,0.008611327449710658,0.5
81,dripping,4.175e-09,6.184479155990215e-09,1090.1843221589381,0.002875,821.6307315261818,821.6307315261818,0.5,4.1697132763488667e-17,0.3002499999999999,2.4999999999999996e-10,0.003022606633436401,1090.1843221589381,0.05,0.28759358118279577,0.28759358118279577,0.5,9.96008843298916e-06,0.003
82,squeezing,4.20925e-09,0.014171366046629075,691.1059064043873,0.02670593732243631,821.6307315261818,0.5449999999999999,0.25,9.206358108583476e-08,-0.0474999999999999,9.185e-10,0.014171366046629075,785.7073632032015,0.11516139323183758,0.28759358118279577,0.5449999999999999,0.25,0.00029902091676686234,0.005674654667938711
83,dripping,3.367e-05,2996.618013527946,950.0,0.009,0.043,0.106,0.1,21029250.129379474,627.1991191105003,3.367e-05,2996.618013527946,985.3581272286631,0.001,0.043,0.106,0.1,21811939.49948261,69.68879101227782
84,squeezing,5.402699999999998e-10,0.0667,1000.0,1.96071561707454,0.005,0.09,0.29,0.08008001999999999,0.01152,2.4011999999999994e-10,0.0667,1000.0,0.0005,0.005,0.06,0.29,0.05338668,0.0096
85,squeezing,8.33e-09,0.052062500000000005,899.8100240646222,0.01016,821.6307315261818,0.4,821.6307315261818,1.187364830222321e-06,6.437867763508121e-07,8.33e-09,0.052062500000000005,1020.4817714654084,0.00095,0.28759358118279577,0.4,0.28759358118279577,0.0038471231749165015,0.00017197663034267585
86,dripping,2.7778e-07,1.9229756805485738,969.0,0.492875,0.03007,0.3800699999999999,821.6307315261818,45.28991686730458,31.51934281843626,2.222222222222222e-11,0.00033792818644548794,1183.0,0.01907,0.03007,0.2564375,0.28759358118279577,1.1520774763364042e-06,0.0002143096280517278
87,squeezing,3.3333e-09,0.0033333000000000004,914.1085020632913,350.0,821.6307315261818,1.0,1.0,1.2361463136808099e-08,0.0014199261970556222,5e-10,0.015816358163328572,967.3759749044495,69.52419404834426,0.28759358118279577,0.1778,0.5,0.00014961007730266465,3.823519111806763
88,squeezing,1.6667e-06,0.16,1000.0,0.001,821.6307315261818,0.49,0.44,1.5267199142733474e-05,0.28,1.6666666666666667e-09,0.175,1000.0,0.001,0.28759358118279577,0.09759000729485331,0.44,0.010392074680920139,0.26
89,squeezing,7.700000000000001e-08,1.9250000000000003,915.5,0.0472,0.0301,0.2,0.1,22.541526162790706,0.01235,3.75e-08,0.0046,917.55,0.00101,1.6e-06,0.1,0.1,1.2134598750000003,2.90375
90,squeezing,4.304000000000001e-10,0.33,1000.0,0.00195,0.005,0.1,0.1,2.178,0.12869999999999998,5.56e-11,0.00556,1020.0,0.00671,0.005,0.1,0.1,0.00063063744,0.007461519999999999
91,squeezing,2.5e-07,1.5625,1078.1366947006782,0.026304339369021653,821.6307315261818,0.4,0.4,0.0012814368128160514,5.00231170610573e-05,1.6666666666666665e-07,1.5625,1100.0,0.002,0.28759358118279577,0.4,0.4,3.7351972376505223,0.010866028327710612
92,squeezing,2.5e-09,0.015625,1001.1,0.55,0.03735,0.4,0.4,0.0026175012550200805,0.23008701472556894,2.5e-09,0.015625,1.0,0.001,0.03735,0.4,0.4,2.6146251673360106e-06,0.0004183400267737617
93,squeezing,1.0127361111111112e-07,0.06,1000.0,0.00092,0.033,0.4,0.05,0.05434,0.0017,9.6e-09,0.06,758.2218919395128,0.005182505054179827,0.001,0.4,0.05,1.0918395243928984,0.3109503032507896
94,squeezing,4.35825e-08,0.09,782.7357302698817,0.12045,821.6307315261818,0.6958807369082723,821.6307315261818,5.369802560525321e-06,7.342,4.35825e-08,0.09,877.5,0.0485,0.28759358118279577,0.6958807369082723,0.28759358118279577,1.5789,0.01517766836814618
